"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"INDGN","Indegene Limited","7(2)","BINA  PATIL","-","Equity Shares","278430","0.12",,"5930","3105455","Sell","Equity Shares","272500","0.11","10-Nov-2025","10-Nov-2025","12-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189497_1575628_14112025072046_WEB.xml"
"INDGN","Indegene Limited","7(2)","BINA PATIL","-","Equity Shares","272500","0.12",,"2000","1031700","Sell","Equity Shares","270500","0.11","11-Nov-2025","11-Nov-2025","12-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189497_1575628_14112025072046_WEB.xml"
"INDGN","Indegene Limited","7(2)","BINA  PATIL","-","Equity Shares","278930","0.12",,"500","262850","Sell","Equity Shares","278430","0.12","10-Nov-2025","10-Nov-2025","12-Nov-2025","Market Sale","-","-","0","0","0","0","BSE","-","14-Nov-2025 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189497_1575628_14112025072046_WEB.xml"
"INDGN","Indegene Limited","7(2)","BINA PATIL","-","Equity Shares","270500","0.11",,"13570","6984909","Sell","Equity Shares","256930","0.11","12-Nov-2025","13-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189494_1575531_14112025065759_WEB.xml"
"INDGN","Indegene Limited","7(2)","AMIT GUPTA","-","Equity Shares","3286","0",,"2200","1137088","Sell","Equity Shares","1086","0","11-Nov-2025","11-Nov-2025","13-Nov-2025","-","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189492_1575497_14112025064958_WEB.xml"
"JINDALSTEL","JINDAL STEEL LIMITED","7(2)","Dipti Ganatra","-","Equity Shares","1399","0",,"901","960466","Sell","Equity Shares","498","0","31-Oct-2025","31-Oct-2025","12-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189491_1575495_14112025064944_WEB.xml"
"JINDALSTEL","JINDAL STEEL LIMITED","7(2)","Dipti Ganatra","-","Equity Shares","498","0",,"498","533376","Sell","Equity Shares","Nil","0","10-Nov-2025","10-Nov-2025","12-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189491_1575495_14112025064944_WEB.xml"
"INDGN","Indegene Limited","7(2)","AMIT GUPTA","-","Equity Shares","3286","0",,"2200","1137088","Sell","Equity Shares","1086","0","11-Nov-2025","11-Nov-2025","13-Nov-2025","-","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189489_1575456_14112025064358_WEB.xml"
"INDGN","Indegene Limited","7(2)","AMIT GUPTA","-","Equity Shares","3286","0",,"2200","1137088","Sell","Equity Shares","1086","0","11-Nov-2025","11-Nov-2025","13-Nov-2025","-","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189488_1575453_14112025064245_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Brijesh Sharma","Employees/Designated Employees","Equity Shares","3290","0",,"10000","2233200","Buy","Equity Shares","13290","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Kirat Jitendra Desai","Employees/Designated Employees","Equity Shares","2813","0",,"758","7580","Buy","Equity Shares","3571","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Pranay Kumar Sinha","Employees/Designated Employees","Equity Shares","1000","0",,"4123","1536683","Buy","Equity Shares","5123","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Rishi Garg","Employees/Designated Employees","Equity Shares","Nil","0",,"2500","973200","Buy","Equity Shares","2500","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Sambasivarao Burle","Employees/Designated Employees","Equity Shares","Nil","0",,"2576","1287382","Buy","Equity Shares","2576","0","12-Nov-2025","12-Nov-2025","12-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Bhushan Shenolikar","Employees/Designated Employees","Equity Shares","Nil","0",,"906","224326","Buy","Equity Shares","906","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Ali Ahmed","Employees/Designated Employees","Equity Shares","15212","0",,"662","246734","Buy","Equity Shares","15874","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Sushil Hari Prasad Budhia","Employees/Designated Employees","Equity Shares","Nil","0",,"2000","446640","Buy","Equity Shares","2000","0","12-Nov-2025","12-Nov-2025","12-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Ateet Nagar Bansal","Employees/Designated Employees","Equity Shares","3292","0",,"2500","931775","Buy","Equity Shares","5792","0","12-Nov-2025","12-Nov-2025","13-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Sneha Darira","Employees/Designated Employees","Equity Shares","22727","0",,"6946","1478873","Buy","Equity Shares","29673","0","12-Nov-2025","12-Nov-2025","14-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"NAM-INDIA","Nippon Life India Asset Management Limited","7(2)","Vani Doshi","Employees/Designated Employees","Equity Shares","4116","0",,"6914","1472081","Buy","Equity Shares","11030","0","12-Nov-2025","12-Nov-2025","12-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189486_1575435_14112025063805_WEB.xml"
"KRISHANA","Krishana Phoschem Limited","7(2)","OSTWAL PHOSCHEM ( INDIA) LIMITED","Promoters","Equity Shares","41485748","67.1",,"105000","54620581","Buy","Equity Shares","41590748","67.27","12-Nov-2025","12-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","14-Nov-2025 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189482_1575391_14112025062726_WEB.xml"
"KIRLOSIND","Kirloskar Industries Limited","7(2)","Ashwini Mali","Key Managerial Personnel","Equity Shares","7241","0.06",,"3237","32370","Buy","Equity Shares","10478","0.09","14-Nov-2025","14-Nov-2025","14-Nov-2025","ESOP","-","-","0","0","0","0","NA","-","14-Nov-2025 18:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189480_1575305_14112025060620_WEB.xml"
"PITTIENG","Pitti Engineering Limited","7(2)","Pitti Engineering Limited Employee Welfare Trust","Other","Equity Shares","620318","1.65",,"21998","19787051","Buy","Equity Shares","642316","1.71","12-Nov-2025","13-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","14-Nov-2025 17:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189478_1575159_14112025053225_WEB.xml"
"INDIACEM","The India Cements Limited","7(2)","UltraTech Cement Limited","Promoters","Equity Shares","234012874","75.51",,"1582621","618860387","Sell","Equity Shares","232430253","75","11-Nov-2025","12-Nov-2025","13-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189476_1575044_14112025045950_WEB.xml"
"KORE","Jay Jalaram Technologies Limited","7(2)","Mukeshkumar Navnitray Bhatt","Promoters","Equity Shares","870750","7.33",,"125000","49875000","Buy","Equity Shares","995750","8.21","13-Nov-2025","13-Nov-2025","14-Nov-2025","Conversion of security","-","-","0","0","0","0","NA","-","14-Nov-2025 16:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189474_1575024_14112025045414_WEB.xml"
"KORE","Jay Jalaram Technologies Limited","7(2)","Vipul Thakkar","Promoter Group","Equity Shares","870750","7.33",,"125000","49875000","Buy","Equity Shares","995750","8.21","13-Nov-2025","13-Nov-2025","14-Nov-2025","Conversion of security","-","-","0","0","0","0","NA","-","14-Nov-2025 16:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189474_1575024_14112025045414_WEB.xml"
"SESHAPAPER","Seshasayee Paper and Boards Limited","7(2)","TIME SQUARE INVESTMENTS PRIVATE LIMITED","Promoter Group","Equity Shares","6387502","10.13",,"55000","13973272","Buy","Equity Shares","6442502","10.22","14-Nov-2025","14-Nov-2025","14-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189473_1575017_14112025045103_WEB.xml"
"GHCL","GHCL Limited","7(2)","Jayesh P. Patel","Employees/Designated Employees","Equity Shares","24500","0.03",,"1500","953000","Sell","Equity Shares","23000","0.03","12-Nov-2025","13-Nov-2025","13-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189471_1574969_14112025043632_WEB.xml"
"GHCL","GHCL Limited","7(2)","K M Vadher","Employees/Designated Employees","Equity Shares","27500","0.03",,"5500","3481500","Sell","Equity Shares","22000","0.02","12-Nov-2025","13-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189471_1574969_14112025043632_WEB.xml"
"GHCL","GHCL Limited","7(2)","Bhuwneshwar Mishra","Employees/Designated Employees","Equity Shares","32000","0.03",,"9000","5769270","Sell","Equity Shares","23000","0.03","13-Nov-2025","13-Nov-2025","14-Nov-2025","Market Sale","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189471_1574969_14112025043632_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Zensar Employees Welfare Trust","Employees/Designated Employees","Equity Shares","313228","0.14",,"70000","49937839","Buy","Equity Shares","383228","0.17","11-Nov-2025","11-Nov-2025","13-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189469_1574955_14112025043322_WEB.xml"
"ZENSARTECH","Zensar Technologies Limited","7(2)","Zensar Employees Welfare Trust","Employees/Designated Employees","Equity Shares","383228","0.17",,"6942","5123543","Buy","Equity Shares","390170","0.17","12-Nov-2025","12-Nov-2025","13-Nov-2025","Market Purchase","-","-","0","0","0","0","NSE","-","14-Nov-2025 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189469_1574955_14112025043322_WEB.xml"
"ORIENTCER","ORIENT CERATECH LIMITED","7(2)","KETAN SHRIMANKAR","Director","Equity Shares","14540","0.01",,"5500","212215","Buy","Equity Shares","20040","0.02","13-Nov-2025","13-Nov-2025","13-Nov-2025","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","14-Nov-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1189468_1574946_14112025042944_WEB.xml"
