"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"SUNTECK","Sunteck Realty Limited","7(2)","Samagra Wealthmax Private Limited","-","Warrants","Nil","0",,"1764705","187499906","Buy","Warrants","1764705","0","05-Dec-2025","05-Dec-2025","05-Dec-2025","Preferential Offer","-","-","0","0","0","0","NA","-","05-Dec-2025 20:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190926_1583356_05122025080849_WEB.xml"
"SUNTECK","Sunteck Realty Limited","7(2)","Glint Infraprojects Private Limited","Promoter Group","Warrants","Nil","0",,"1176470","124999937","Buy","Warrants","1176470","0","05-Dec-2025","05-Dec-2025","05-Dec-2025","Preferential Offer","-","-","0","0","0","0","NA","-","05-Dec-2025 20:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190926_1583356_05122025080849_WEB.xml"
"SUNTECK","Sunteck Realty Limited","7(2)","Bhuwalka Steel Industries Limited","Promoter Group","Warrants","Nil","0",,"4882353","518750006","Buy","Warrants","4882353","0","05-Dec-2025","05-Dec-2025","05-Dec-2025","Preferential Offer","-","-","0","0","0","0","NA","-","05-Dec-2025 20:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190926_1583356_05122025080849_WEB.xml"
"HFCL","HFCL Limited","7(2)","HFCL Employees Trust","Other","Equity Shares","490700","0.03",,"75600","1561140","Sell","Equity Shares","415100","0.03","04-Dec-2025","04-Dec-2025","05-Dec-2025","Off Market","-","-","0","0","0","0","NA","-","05-Dec-2025 19:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190924_1583333_05122025073237_WEB.xml"
"HIKAL","Hikal Limited","7(2)","Shri Badrinath Investment Private Limited (RIPL)","Promoter Group","Equity Shares","19978612","16.2",,"19978612","39957224","Sell","Equity Shares","Nil","0","03-Dec-2025","03-Dec-2025","03-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","05-Dec-2025 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190922_1583318_05122025072440_WEB.xml"
"HIKAL","Hikal Limited","7(2)","Castilia Life Sciences Private Limited","Promoter Group","Equity Shares","Nil","0",,"30231914","60363828","Buy","Equity Shares","30231914","24.52","03-Dec-2025","03-Dec-2025","03-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","05-Dec-2025 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190922_1583318_05122025072440_WEB.xml"
"HIKAL","Hikal Limited","7(2)","Shri Rameshwara Investment Private Limited (RIPL)","Promoter Group","Equity Shares","10253302","8.32",,"10253302","20506604","Sell","Equity Shares","Nil","0","03-Dec-2025","03-Dec-2025","03-Dec-2025","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","05-Dec-2025 19:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190922_1583318_05122025072440_WEB.xml"
"CGCL","Capri Global Capital Limited","7(2)","Munish Jain","Employees/Designated Employees","Equity Shares","65300","0",,"5000","938000","Sell","Equity Shares","60300","0","04-Dec-2025","04-Dec-2025","05-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","05-Dec-2025 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190920_1583303_05122025070914_WEB.xml"
"CGCL","Capri Global Capital Limited","7(2)","Munish Jain","Employees/Designated Employees","Equity Shares","60300","0",,"3712","700900","Sell","Equity Shares","56588","0","05-Dec-2025","05-Dec-2025","05-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","05-Dec-2025 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190920_1583303_05122025070914_WEB.xml"
"CGCL","Capri Global Capital Limited","7(2)","Divya Sutar","Employees/Designated Employees","Equity Shares","180000","0",,"80000","15200000","Sell","Equity Shares","100000","0","04-Dec-2025","04-Dec-2025","04-Dec-2025","Market Sale","-","-","0","0","0","0","NSE","-","05-Dec-2025 19:09","https://nsearchives.nseindia.com/corporate/xbrl/IT_1190920_1583303_05122025070914_WEB.xml"
