Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Range,TR,ATR14,SMA10,SMA20,SMA50,BB_Mid,BB_Upper,BB_Lower,BB_Bandwidth,CLV,RangeAvg20,VolAvg20,HI55,HI55_Recent,NR7,Delivery_Pct
2025-11-21,1018GS2026,GS,105.5,106.0,105.5,106.0,105.5,1793,0.5,0.5,1.953571428571426,105.417,105.3365,105.84240000000001,105.3365,106.63841051919812,104.03458948080188,0.024719076847970395,1.0,1.711499999999998,2432.1,False,False,False,100.0
2025-11-21,20MICRONS,EQ,190.0,193.19,189.56,190.37,190.86,49898,3.6299999999999955,3.6299999999999955,6.102857142857145,195.79500000000002,202.9855,213.09579999999997,202.9855,218.73739318780392,187.2336068121961,0.15520215175767643,0.2231404958677695,5.243,69471.35,False,False,False,57.18
2025-11-21,21STCENMGM,EQ,39.89,39.89,39.09,39.09,39.89,4836,0.7999999999999972,0.7999999999999972,1.1892857142857143,42.906,44.738,48.437200000000004,44.738,49.92891745262795,39.54708254737205,0.2320585387200121,0.0,1.2125000000000008,7835.7,False,False,False,100.0
2025-11-21,360ONE,EQ,1142.1,1157.3,1121.0,1139.7,1142.1,2783024,36.299999999999955,36.299999999999955,30.31428571428572,1093.54,1114.725,1092.0439999999999,1114.725,1200.0329568387388,1029.417043161261,0.15305650602388723,0.515151515151517,29.19000000000001,698670.55,False,False,False,28.1
2025-11-21,3IINFOLTD,EQ,17.32,17.49,17.1,17.21,17.34,270180,0.389999999999997,0.389999999999997,0.5721428571428573,17.476,18.064,20.531400000000005,18.064,20.282228121722458,15.845771878277542,0.24559655909238903,0.28205128205128277,0.6645000000000001,1163976.3,False,False,False,62.4
2025-11-21,3MINDIA,EQ,35755.0,35760.0,35160.0,35455.0,35685.0,8367,600.0,600.0,1107.142857142857,35938.0,33453.25,31219.0,33453.25,39508.25146573062,27398.248534269387,0.36199780085526007,0.49166666666666664,816.5,19214.9,False,False,False,79.57
2025-11-21,3PLAND,EQ,39.4,39.99,38.5,39.51,39.4,2402,1.490000000000002,1.490000000000002,1.6564285714285707,40.03,41.2935,42.943599999999996,41.2935,44.14002964151065,38.44697035848935,0.13786817012414299,0.6778523489932864,1.8114999999999999,6728.2,False,False,False,78.56
2025-11-21,574GS2026,GS,100.15,100.15,100.15,100.15,99.17,172,0.0,0.980000000000004,1.5600000000000034,101.09700000000001,101.4245,101.1102,101.4245,103.57811533241193,99.27088466758806,0.042467359117608294,0.5,0.9355000000000011,176.25,False,False,True,100.0
2025-11-21,585GS2030,GS,98.79,99.0,98.31,98.47,98.77,1786,0.6899999999999977,0.6899999999999977,0.8428571428571406,98.316,,,,,,,0.2318840579710103,,,False,False,False,88.8
2025-11-21,591GS2028,GS,101.25,101.25,101.25,101.25,102.0,100,0.0,0.75,0.7714285714285692,101.038,100.7885,,100.7885,101.91523466264253,99.66176533735747,0.02235839729021731,0.5,0.46799999999999997,413.25,False,False,True,100.0
2025-11-21,5PAISA,EQ,356.25,363.75,340.2,342.85,356.6,405431,23.55000000000001,23.55000000000001,15.507142857142858,314.78499999999997,314.075,335.23699999999997,314.075,351.44551645348275,276.7044835465172,0.23797192679126175,0.11252653927813303,11.847499999999997,540667.5,False,False,False,21.04
2025-11-21,601GS2030,GS,101.23,101.28,101.23,101.28,101.23,500100,0.04999999999999716,0.04999999999999716,0.6285714285714293,100.641,100.275,99.5458,100.275,101.75757208930952,98.79242791069049,0.029570123945340587,1.0,0.336999999999999,275572.65,False,False,False,100.0
2025-11-21,633GS2035,GS,101.7,101.7,101.7,101.7,98.0,2,0.0,3.700000000000003,1.6499999999999986,100.78,100.85499999999999,100.5324,100.85499999999999,102.84444715938876,98.86555284061122,0.03945163173642902,0.5,0.7654999999999987,2194.1,False,True,True,100.0
2025-11-21,63MOONS,EQ,751.5,767.5,730.1,736.1,756.25,113447,37.39999999999998,37.39999999999998,28.153571428571436,738.55,766.1425,834.033,766.1425,825.7816421383651,706.503357861635,0.1556868131930158,0.1604278074866311,26.590000000000003,107252.1,False,False,False,49.45
2025-11-21,648GS2035,GS,100.1,100.1,100.0,100.0,99.95,200,0.09999999999999432,0.14999999999999147,0.5378571428571449,99.988,99.7505,,99.7505,100.4344437111342,99.06655628886581,0.013713088378187395,0.0,0.370000000000001,2209.6,False,False,False,100.0
2025-11-21,667GS2050,GS,97.1,97.1,97.1,97.1,97.0,10,0.0,0.09999999999999432,0.5999999999999984,96.92699999999999,96.775,96.90820000000002,96.775,97.45064783726433,96.09935216273568,0.013963272276193676,0.5,0.46799999999999997,25799.7,False,False,True,100.0
2025-11-21,676GS2061,GS,94.6,94.6,94.0,94.54,94.6,1070,0.5999999999999943,0.5999999999999943,1.1114285714285705,94.325,94.61049999999999,95.63439999999999,94.61049999999999,95.79853156523558,93.4224684347644,0.025114158898549115,0.9000000000000189,0.8019999999999996,7391.1,False,False,False,100.0
2025-11-21,679GS2034,GS,102.45,102.45,102.2,102.38,101.0,7000,0.25,1.4500000000000028,0.8742857142857139,100.81800000000001,101.3655,,101.3655,103.27513321085489,99.4558667891451,0.03767816882183568,0.7199999999999704,0.44749999999999945,3943.5,False,False,False,100.0
2025-11-21,679GS2034A,GS,101.02,101.02,100.01,100.01,101.02,700,1.009999999999991,1.009999999999991,1.105714285714286,101.002,99.5505,,99.5505,102.7683655969447,96.3326344030553,0.06464790426858137,0.0,0.29200000000000015,711.05,False,False,False,100.0
2025-11-21,68GS2060,GS,96.0,96.0,96.0,96.0,96.0,558,0.0,0.0,1.0957142857142839,96.24600000000001,96.3735,96.5438,96.3735,97.4584198127049,95.28858018729511,0.022514899068829013,0.5,0.8549999999999975,5825.7,False,False,True,100.0
2025-11-21,690GS2065,GS,95.02,95.54,95.02,95.29,95.02,23912,0.5200000000000102,0.5200000000000102,0.4885714285714288,95.276,95.88399999999999,97.5986,95.88399999999999,97.31089032514761,94.45710967485236,0.029762845211873196,0.5192307692307787,0.6350000000000009,161829.15,False,False,False,99.92
2025-11-21,692GS2039,GS,101.98,101.98,101.98,101.98,100.28,51,0.0,1.7000000000000028,1.5314285714285691,102.551,103.025,102.63799999999999,103.025,105.55601165544539,100.49398834455462,0.04913393167571721,0.5,0.8434999999999988,3237.0,False,False,True,100.0
2025-11-21,695GS2061,GS,98.5,98.5,96.53,96.53,98.5,4193,1.9699999999999989,1.9699999999999989,0.6607142857142867,98.49199999999999,99.036,,99.036,101.90586689586813,96.16613310413187,0.05795603408595113,0.0,0.7260000000000005,13832.1,False,False,False,100.0
2025-11-21,697GR2034,GS,98.0,98.0,98.0,98.0,97.0,46,0.0,1.0,2.048571428571427,98.221,98.4645,,98.4645,101.51673508268941,95.4122649173106,0.06199666037382827,0.5,0.36799999999999927,133.35,False,False,True,100.0
2025-11-21,698GR2054,GS,97.1,97.88,97.1,97.88,97.1,178,0.7800000000000011,0.7800000000000011,1.5471428571428558,98.07000000000001,98.72149999999999,,98.72149999999999,100.96821560283003,96.47478439716996,0.04551623714854488,1.0,0.5575000000000003,667.05,False,False,False,56.18
2025-11-21,699GS2026,GS,101.4,101.4,101.15,101.15,101.15,184,0.25,0.25,0.34357142857142975,100.90299999999999,101.359,102.50299999999999,101.359,103.61498670208863,99.10301329791136,0.04451477820595378,0.0,0.3649999999999999,9386.75,False,False,False,100.0
2025-11-21,702GS2027,GS,104.15,104.16,104.15,104.16,105.1,10196,0.009999999999990905,0.9499999999999886,1.047142857142855,104.56199999999998,103.926,103.32440000000001,103.926,105.66201152069912,102.18998847930088,0.03340860844637766,1.0,1.1554999999999993,3111.35,False,True,False,100.0
