Date,Symbol,Series,Deliverable_Qty,Traded_Qty,Delivery_Pct
2025-11-04,ACCELYA,EQ,5832.0,8214,71.0
2025-11-04,ACCENTMIC,ST,46500.0,49500,93.94
2025-11-04,ACCORD,SM,6000.0,8000,75.0
2025-11-04,ACCPL,SM,13200.0,16800,78.57
2025-11-04,ACCURACY,EQ,76087.0,104628,72.72
2025-11-04,ACE,EQ,44497.0,104494,42.58
2025-11-04,ACEINTEG,EQ,1378.0,1434,96.09
2025-11-04,ACI,EQ,134094.0,186662,71.84
2025-11-04,ACL,BE,,16965,
2025-11-04,ACLGATI,EQ,458140.0,646503,70.86
2025-11-04,ACMESOLAR,EQ,1295471.0,3979407,32.55
2025-11-04,ACTIVEINFR,SM,1200.0,1200,100.0
2025-11-04,ACUTAAS,EQ,287378.0,598906,47.98
2025-11-04,ADANIENSOL,EQ,574973.0,1710963,33.61
2025-11-04,ADANIENT,EQ,424988.0,2072668,20.5
2025-11-04,ADANIGREEN,EQ,595791.0,3029132,19.67
2025-11-04,ADANIPORTS,EQ,1115999.0,3554714,31.39
2025-11-04,ADANIPOWER,EQ,11685990.0,41404679,28.22
2025-11-04,ADFFOODS,EQ,26122.0,49524,52.75
2025-11-04,ADL,EQ,702.0,2161,32.48
2025-11-04,ADOR,EQ,11410.0,15624,73.03
2025-11-04,ADROITINFO,EQ,26336.0,34043,77.36
2025-11-04,ADSL,EQ,48800.0,100826,48.4
2025-11-04,ADVANCE,EQ,512558.0,828366,61.88
2025-11-04,ADVANIHOTR,EQ,13905.0,23172,60.01
2025-11-04,ADVENZYMES,EQ,54637.0,95579,57.16
2025-11-04,AEGISLOG,EQ,124600.0,254062,49.04
2025-11-04,AEGISVOPAK,EQ,197648.0,373228,52.96
2025-11-04,AEROENTER,EQ,119057.0,193380,61.57
2025-11-04,AEROFLEX,EQ,230992.0,457120,50.53
2025-11-04,AERON,SM,6000.0,10000,60.0
2025-11-04,AERONEU,EQ,6810.0,22123,30.78
2025-11-04,AESTHETIK,SM,23000.0,23000,100.0
2025-11-04,AETHER,EQ,68339.0,87398,78.19
2025-11-04,AFCONS,EQ,347801.0,465717,74.68
2025-11-04,AFFLE,EQ,355075.0,666235,53.3
2025-11-04,AFFORDABLE,EQ,16917.0,28716,58.91
2025-11-04,AFIL,EQ,713992.0,1275261,55.99
2025-11-04,AFSL,EQ,13214.0,22153,59.65
2025-11-04,AGARIND,EQ,11779.0,23793,49.51
2025-11-04,AGARWALEYE,EQ,49623.0,138944,35.71
2025-11-04,AGARWALFT,SM,1500.0,1500,100.0
2025-11-04,AGARWALTUF,SM,14400.0,19200,75.0
2025-11-04,AGI,EQ,23201.0,35949,64.54
2025-11-04,AGIIL,EQ,42208.0,113649,37.14
2025-11-04,AGNI,ST,25000.0,25000,100.0
2025-11-04,AGRITECH,EQ,1055.0,1998,52.8
2025-11-04,AGROPHOS,BE,,13684,
2025-11-04,AGSTRA,BZ,,146648,
2025-11-04,AGUL,SM,30000.0,30000,100.0
2025-11-04,AHCL,BE,,949879,
2025-11-04,AHLADA,EQ,3463.0,4903,70.63
2025-11-04,AHLEAST,EQ,3849.0,4125,93.31
2025-11-04,AHLUCONT,EQ,15335.0,28433,53.93
2025-11-04,AIAENG,EQ,16736.0,28187,59.37
2025-11-04,AIIL,EQ,88387.0,149589,59.09
2025-11-04,AILIMITED,SM,3000.0,3000,100.0
2025-11-04,AIMTRON,SM,90400.0,212600,42.52
2025-11-04,AIRAN,EQ,43016.0,58302,73.78
2025-11-04,AIROLAM,EQ,3374.0,3617,93.28
2025-11-04,AIRTELPP,E1,164812.0,207739,79.34
2025-11-04,AISL,SM,1800.0,1800,100.0
2025-11-04,AJANTPHARM,EQ,163959.0,317772,51.6
2025-11-04,AJAXENGG,EQ,362954.0,392160,92.55
2025-11-04,AJMERA,EQ,15305.0,28544,53.62
2025-11-04,AJOONI,EQ,1151992.0,1514776,76.05
2025-11-04,AKASH,EQ,9265.0,15702,59.01
2025-11-04,AKG,EQ,55069.0,77683,70.89
2025-11-04,AKI,EQ,29111.0,35316,82.43
2025-11-04,AKIKO,ST,3200.0,3200,100.0
2025-11-04,AKSHAR,BE,,542826,
2025-11-04,AKSHARCHEM,EQ,850.0,1130,75.22
2025-11-04,AKSHOPTFBR,EQ,97422.0,129958,74.96
2025-11-04,AKUMS,EQ,87037.0,206707,42.11
2025-11-04,AKZOINDIA,EQ,29009.0,45461,63.81
2025-11-04,ALANKIT,EQ,126636.0,165251,76.63
2025-11-04,ALBERTDAVD,EQ,3471.0,4185,82.94
2025-11-04,ALEMBICLTD,EQ,215926.0,407347,53.01
2025-11-04,ALICON,EQ,16936.0,35377,47.87
2025-11-04,ALIVUS,EQ,239117.0,258764,92.41
2025-11-04,ALKALI,EQ,4847.0,7612,63.68
2025-11-04,ALKEM,EQ,157486.0,237864,66.21
2025-11-04,ALKYLAMINE,EQ,21786.0,90201,24.15
2025-11-04,ALLCARGO,EQ,1350107.0,2301023,58.67
2025-11-04,ALLDIGI,EQ,3057.0,4226,72.34
2025-11-04,ALLETEC,SM,19600.0,26800,73.13
2025-11-04,ALLTIME,EQ,267862.0,432116,61.99
2025-11-04,ALMONDZ,EQ,37200.0,60333,61.66
2025-11-04,ALOKINDS,EQ,2015925.0,4663430,43.23
2025-11-04,ALPA,EQ,5285.0,8996,58.75
2025-11-04,ALPEXSOLAR,SM,92700.0,146500,63.28
2025-11-04,ALPHA,EQ,397962.0,665997,59.75
2025-11-04,ALPHAETF,EQ,314326.0,361889,86.86
2025-11-04,ALPHAGEO,EQ,5640.0,9464,59.59
2025-11-04,ALPL30IETF,EQ,566450.0,698723,81.07
2025-11-04,ALPSINDUS,BE,,11360,
2025-11-04,ALUWIND,SM,12000.0,12000,100.0
2025-11-04,AMANTA,EQ,22053.0,36760,59.99
2025-11-04,AMBER,EQ,93829.0,201227,46.63
2025-11-04,AMBICAAGAR,EQ,5255.0,5504,95.48
2025-11-04,AMBIKCO,EQ,4863.0,6021,80.77
2025-11-04,AMBUJACEM,EQ,1631817.0,4438364,36.77
2025-11-04,AMCL,ST,2400.0,2400,100.0
2025-11-04,AMDIND,EQ,9280.0,17503,53.02
2025-11-04,AMEYA,SM,1000.0,1000,100.0
2025-11-04,AMJLAND,EQ,17084.0,30601,55.83
2025-11-04,AMNPLST,EQ,1755.0,3297,53.23
2025-11-04,AMRUTANJAN,EQ,4882.0,8976,54.39
2025-11-04,ANANDRATHI,EQ,93970.0,178488,52.65
2025-11-04,ANANTAM,IV,12179.0,14291,85.22
2025-11-04,ANANTRAJ,EQ,628529.0,1743841,36.04
2025-11-04,ANDHRAPAP,EQ,35475.0,46170,76.84
2025-11-04,ANDHRSUGAR,EQ,507973.0,674836,75.27
2025-11-04,ANGELONE,EQ,213326.0,621997,34.3
2025-11-04,ANIKINDS,EQ,4179.0,6213,67.26
2025-11-04,ANKITMETAL,BZ,,51441,
2025-11-04,ANLON,SM,2400.0,2800,85.71
2025-11-04,ANMOL,EQ,96712.0,141126,68.53
2025-11-04,ANNAPURNA,SM,39000.0,50250,77.61
2025-11-04,ANONDITA,ST,143000.0,151000,94.7
2025-11-04,ANSALAPI,BZ,,22587,
2025-11-04,ANTELOPUS,EQ,22202.0,29107,76.28
2025-11-04,ANTGRAPHIC,EQ,189262.0,252061,75.09
2025-11-04,ANTHEM,EQ,294621.0,618589,47.63
2025-11-04,ANUHPHR,EQ,18371.0,27530,66.73
2025-11-04,ANUP,EQ,6796.0,11636,58.4
2025-11-04,ANURAS,EQ,30944.0,69235,44.69
2025-11-04,ANYA,SM,5000.0,10000,50.0
2025-11-04,ANZEN,IV,25000.0,25000,100.0
2025-11-04,AONEGOLD,EQ,378595.0,551112,68.7
2025-11-04,AONELIQUID,EQ,13607.0,13801,98.59
2025-11-04,AONENIFTY,EQ,94411.0,155010,60.91
2025-11-04,AONETOTAL,EQ,180315.0,339020,53.19
2025-11-04,APARINDS,EQ,60477.0,88204,68.56
2025-11-04,APCL,EQ,1382.0,2642,52.31
2025-11-04,APCOTEXIND,EQ,7061.0,11722,60.24
2025-11-04,APEX,EQ,20624.0,64424,32.01
2025-11-04,APEXECO,SM,4800.0,5600,85.71
2025-11-04,APLAPOLLO,EQ,355442.0,535976,66.32
2025-11-04,APLLTD,EQ,141668.0,1596017,8.88
2025-11-04,APOLLO,EQ,1294239.0,3474407,37.25
2025-11-04,APOLLOHOSP,EQ,243299.0,384562,63.27
2025-11-04,APOLLOPIPE,EQ,111770.0,216051,51.73
2025-11-04,APOLLOTYRE,EQ,758702.0,2697240,28.13
2025-11-04,APOLSINHOT,EQ,1012.0,1118,90.52
2025-11-04,APRAMEYA,SM,13000.0,19000,68.42
2025-11-04,APS,SM,20500.0,33750,60.74
2025-11-04,APTECHT,EQ,101820.0,214877,47.39
2025-11-04,APTUS,EQ,2190584.0,3467760,63.17
2025-11-04,ARABIAN,SM,2000.0,2000,100.0
2025-11-04,ARCHIDPLY,EQ,10945.0,13176,83.07
2025-11-04,ARCHIES,EQ,22013.0,26869,81.93
2025-11-04,ARCIIL,SM,3000.0,3000,100.0
2025-11-04,ARE&M,EQ,271141.0,415538,65.25
2025-11-04,ARENTERP,EQ,2110.0,2642,79.86
2025-11-04,ARFIN,BE,,233252,
2025-11-04,ARHAM,SM,6000.0,12000,50.0
2025-11-04,ARIES,EQ,10469.0,21914,47.77
2025-11-04,ARIHANTCAP,EQ,260582.0,1064637,24.48
2025-11-04,ARIHANTSUP,EQ,18862.0,52820,35.71
2025-11-04,ARISINFRA,EQ,267896.0,723048,37.05
2025-11-04,ARISTO,SM,3200.0,3200,100.0
2025-11-04,ARKADE,EQ,76327.0,203579,37.49
2025-11-04,ARMANFIN,EQ,8219.0,12738,64.52
2025-11-04,AROGRANITE,EQ,6465.0,10994,58.8
2025-11-04,ARROWGREEN,EQ,40990.0,65408,62.67
2025-11-04,ARSHIYA,BZ,,101643,
2025-11-04,ARSSBL,EQ,723047.0,2107743,34.3
2025-11-04,ARTEMISMED,EQ,44337.0,70067,63.28
2025-11-04,ARTNIRMAN,EQ,1911.0,3603,53.04
2025-11-04,ARUNAYA,SM,14000.0,22000,63.64
2025-11-04,ARVEE,EQ,59.0,70,84.29
2025-11-04,ARVIND,EQ,548333.0,638255,85.91
2025-11-04,ARVINDFASN,EQ,203676.0,510355,39.91
2025-11-04,ARVINDPORT,SM,16500.0,18000,91.67
2025-11-04,ARVSMART,EQ,76142.0,135681,56.12
2025-11-04,ASAHIINDIA,EQ,166756.0,368252,45.28
2025-11-04,ASAHISONG,EQ,4565.0,7125,64.07
2025-11-04,ASAL,EQ,8903.0,31269,28.47
2025-11-04,ASALCBR,EQ,31317.0,95443,32.81
2025-11-04,ASCOM,ST,3000.0,3000,100.0
2025-11-04,ASHALOG,SM,4000.0,4000,100.0
2025-11-04,ASHAPURMIN,EQ,122131.0,242921,50.28
2025-11-04,ASHIANA,EQ,19074.0,27022,70.59
2025-11-04,ASHIMASYN,EQ,105678.0,136204,77.59
2025-11-04,ASHOKA,EQ,574502.0,1370192,41.93
2025-11-04,ASHOKAMET,EQ,11754.0,14121,83.24
2025-11-04,ASHOKLEY,EQ,4487330.0,8502046,52.78
2025-11-04,ASIANENE,EQ,193668.0,849798,22.79
2025-11-04,ASIANHOTNR,EQ,1258.0,7706,16.32
2025-11-04,ASIANPAINT,EQ,292052.0,527087,55.41
2025-11-04,ASIANTILES,EQ,1217700.0,2406973,50.59
2025-11-04,ASKAUTOLTD,EQ,91525.0,219941,41.61
2025-11-04,ASMS,BE,,83543,
