Symbol,Sector
ASTRAMICRO,Capital Goods
ASTRAZEN,Healthcare
ASTRON,OTHER
ATALREAL,Realty
ATAM,Producer Manufacturing
ATCENERGY,OTHER
ATGL,Oil Gas & Consumable Fuels
ATHERENERG,Automobile and Auto Components
ATL,Transportation
ATL-RE,OTHER
ATLANTAA,Industrial Services
ATLANTAELE,OTHER
ATLASCYCLE,OTHER
ATMASTCO,OTHER
ATUL,Chemicals
ATULAUTO,Consumer Durables
AUBANK,Financial Services
AURIGROW,OTHER
AURIONPRO,Information Technology
AUROIMPEX,OTHER
AUROPHARMA,Healthcare
AURUM,Technology Services
AUSL,OTHER
AUSOMENT,Finance
AUTOAXLES,Producer Manufacturing
AUTOIND,Producer Manufacturing
AVADHSUGAR,Process Industries
AVALON,Capital Goods
AVANTEL,Electronic Technology
AVANTIFEED,Fast Moving Consumer Goods
AVG,Transportation
AVIANSH,OTHER
AVL,Retail Trade
AVONMORE,OTHER
AVPINFRA,OTHER
AVROIND,Consumer Durables
AVSL,OTHER
AVTNPL,Consumer Non-Durables
AWFIS,Services
AWHCL,OTHER
AWL,Fast Moving Consumer Goods
AXISBANK,Financial Services
AXISCADES,Commercial Services
AXITA,Process Industries
AYMSYNTEX,Process Industries
AZAD,Capital Goods
BABAFP,OTHER
BAFNAPH,Health Technology
BAGDIGITAL,OTHER
BAGFILMS,OTHER
BAHETI,OTHER
BAIDFIN,Finance
BAJAJ-AUTO,Automobile and Auto Components
BAJAJCON,Consumer Non-Durables
BAJAJELEC,Consumer Durables
BAJAJFINSV,Financial Services
BAJAJHCARE,Health Technology
BAJAJHFL,Financial Services
BAJAJHIND,Process Industries
BAJAJHLDNG,Financial Services
BAJAJINDEF,OTHER
BAJEL,Utilities
BAJFINANCE,Financial Services
BALAJEE,OTHER
BALAJIPHOS,OTHER
BALAJITELE,Consumer Services
BALAMINES,Chemicals
BALAXI,OTHER
BALCO,OTHER
BALKRISHNA,Process Industries
BALKRISIND,Automobile and Auto Components
BALMLAWRIE,Producer Manufacturing
BALPHARMA,Health Technology
BALRAMCHIN,Fast Moving Consumer Goods
BALUFORGE,Capital Goods
BANARBEADS,Consumer Durables
BANARISUG,Process Industries
BANCOINDIA,Automobile and Auto Components
BANDHANBNK,Financial Services
BANG,Retail Trade
BANKA,Industrial Services
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BANSALWIRE,OTHER
BANSWRAS,Process Industries
BARFLEX,OTHER
BASF,Chemicals
BASILIC,OTHER
BASML,OTHER
BATAINDIA,Consumer Durables
BAWEJA,OTHER
BAYERCROP,Chemicals
BBL,Capital Goods
BBOX,Technology Services
BBTC,Fast Moving Consumer Goods
BBTCL,OTHER
BCG,Technology Services
BCLIND,Consumer Non-Durables
BCONCEPTS,Consumer Durables
BDL,Capital Goods
BEACON,OTHER
BEARDSELL,Process Industries
BECTORFOOD,Fast Moving Consumer Goods
BEDMUTHA,Non-Energy Minerals
BEL,Capital Goods
BELLACASA,OTHER
BELRISE,Automobile and Auto Components
BEML,Capital Goods
BEPL,Process Industries
BERGEPAINT,Consumer Durables
BESTAGRO,Process Industries
BETA,Health Technology
BEWLTD,OTHER
BFINVEST,Finance
BFUTILITIE,Industrial Services
BGRENERGY,Industrial Services
BHADORA,OTHER
BHAGCHEM,OTHER
BHAGERIA,Process Industries
BHAGYANGR,Producer Manufacturing
BHANDARI,Consumer Non-Durables
BHARATFORG,Automobile and Auto Components
BHARATGEAR,Producer Manufacturing
BHARATRAS,Process Industries
BHARATSE,Producer Manufacturing
BHARATWIRE,Producer Manufacturing
BHARTIARTL,Telecommunication
BHARTIHEXA,Telecommunication
BHEL,Capital Goods
BIGBLOC,Non-Energy Minerals
BIKAJI,Fast Moving Consumer Goods
BIKEWO,OTHER
BIL,Consumer Non-Durables
BILVYAPAR,OTHER
BIOCON,Healthcare
BIOFILCHEM,OTHER
BIRDYS,OTHER
BIRLACABLE,Producer Manufacturing
BIRLACORPN,Construction Materials
BIRLAMONEY,Finance
BIRLANU,OTHER
BLACKBUCK,Services
BLAL,Finance
BLBLIMITED,Finance
BLISSGVS,Health Technology
BLKASHYAP,Industrial Services
BLS,Consumer Services
BLSE,Technology Services
BLUECOAST,Consumer Services
BLUEDART,Services
BLUEJET,Healthcare
BLUEPEBBLE,OTHER
BLUESTARCO,Consumer Durables
BLUESTONE,OTHER
BLUEWATER,OTHER
BLUSPRING,OTHER
BMETRICS,OTHER
BMWVENTLTD,OTHER
BODALCHEM,Process Industries
BOHRAIND,Process Industries
BOMDYEING,Process Industries
BORANA,OTHER
BOROLTD,Producer Manufacturing
BORORENEW,Capital Goods
BOROSCI,OTHER
BOSCHLTD,Automobile and Auto Components
BOSS,OTHER
BPCL,Oil Gas & Consumable Fuels
BPL,Electronic Technology
BRACEPORT,OTHER
BRIGADE,Realty
BRIGHOTEL,OTHER
BRITANNIA,Fast Moving Consumer Goods
BRNL,Industrial Services
BROOKS,Health Technology
BSE,Financial Services
BSHSL,Process Industries
BSL,Process Industries
BSOFT,Information Technology
BTML,Consumer Services
BULKCORP,OTHER
BUTTERFLY,OTHER
BVCL,Non-Energy Minerals
BYKE,Consumer Services
C2C,OTHER
CADSYS,OTHER
CALSOFT,Technology Services
CAMLINFINE,Process Industries
CAMPUS,Consumer Durables
CAMS,Financial Services
CANARYS,OTHER
CANBK,Financial Services
CANFINHOME,Financial Services
CANHLIFE,OTHER
CANTABIL,Consumer Non-Durables
CAPACITE,OTHER
CAPILLARY,OTHER
CAPITALSFB,Finance
CAPLIPOINT,Healthcare
CAPTRUST,Finance
CARBORUNIV,Capital Goods
CARERATING,Commercial Services
CARRARO,OTHER
CARTRADE,Consumer Services
CARYSIL,Consumer Durables
CASTROLIND,Oil Gas & Consumable Fuels
CBAZAAR,OTHER
CCCL,OTHER
CCHHL,OTHER
CCL,Fast Moving Consumer Goods
CDSL,Financial Services
CEATLTD,Automobile and Auto Components
CEDAAR,OTHER
CEIGALL,Construction
CELEBRITY,Consumer Non-Durables
CELLECOR,OTHER
CELLO,Consumer Durables
CELLPOINT,OTHER
CEMPRO,Construction
CENTENKA,Process Industries
CENTEXT,Producer Manufacturing
CENTRALBK,Financial Services
CENTRUM,Finance
CENTUM,Electronic Technology
CENTURYPLY,Consumer Durables
CERA,Consumer Durables
CEREBRAINT,OTHER
CESC,Power
CEWATER,OTHER
CGCL,Financial Services
CGPOWER,Capital Goods
CGRAPHICS,OTHER
CHALET,Consumer Services
CHAMBLFERT,Chemicals
CHAMUNDA,OTHER
CHANDAN,OTHER
CHAVDA,OTHER
CHEMBOND,OTHER
CHEMBONDCH,Process Industries
CHEMCON,OTHER
CHEMFAB,Process Industries
CHEMPLASTS,Process Industries
CHENNPETRO,Oil Gas & Consumable Fuels
CHETANA,OTHER
CHEVIOT,Process Industries
CHOICEIN,Financial Services
CHOLAFIN,Financial Services
CHOLAHLDNG,Financial Services
CIEINDIA,Automobile and Auto Components
CIFL,Finance
CIGNITITEC,Information Technology
CINELINE,Consumer Services
CINEVISTA,Consumer Services
CIPLA,Healthcare
CLASSICEIL,OTHER
CLEAN,Chemicals
CLEDUCATE,Commercial Services
CLSEL,Process Industries
CLSL,OTHER
CMNL,OTHER
CMRSL,OTHER
CMSINFO,Services
COALINDIA,Oil Gas & Consumable Fuels
COASTCORP,Transportation
COCHINSHIP,Capital Goods
COFFEEDAY,Consumer Services
COFORGE,Information Technology
COHANCE,Healthcare
COLPAL,Fast Moving Consumer Goods
COMMITTED,OTHER
COMPINFO,Technology Services
COMPUSOFT,Technology Services
COMSYN,Process Industries
CONCOR,Services
CONCORDBIO,Healthcare
CONFIPET,Retail Trade
CONNPLEX,OTHER
CONSOFINVT,OTHER
CONTI,OTHER
CONTROLPR,Electronic Technology
COOLCAPS,OTHER
CORALFINAC,Finance
CORDSCABLE,Producer Manufacturing
COROMANDEL,Chemicals
COSMOFIRST,Process Industries
COUNCODOS,Finance
CPCAP,OTHER
CPEDU,OTHER
CPPLUS,OTHER
CPS,OTHER
CRAFTSMAN,Automobile and Auto Components
CRAMC,OTHER
CRAYONS,OTHER
CREATIVE,OTHER
CREATIVEYE,Consumer Services
CREDITACC,Financial Services
CREST,Finance
CRISIL,Financial Services
CRIZAC,OTHER
CROMPTON,Consumer Durables
CROWN,Finance
CSBBANK,Financial Services
CSLFINANCE,Finance
CTE,OTHER
CUB,Financial Services
CUBEXTUB,Non-Energy Minerals
CUDML,OTHER
CUMMINSIND,Capital Goods
CUPID,Consumer Non-Durables
CURAA,OTHER
CURIS,OTHER
CURRENT,OTHER
CYBERMEDIA,Consumer Services
CYBERTECH,Technology Services
CYIENT,Information Technology
CYIENTDLM,Capital Goods
DABUR,Fast Moving Consumer Goods
DALBHARAT,Construction Materials
DALMIASUG,OTHER
DAMCAPITAL,OTHER
DAMODARIND,Process Industries
DANGEE,Consumer Non-Durables
DANISH,OTHER
DATAMATICS,Information Technology
DATAPATTNS,Capital Goods
DAVANGERE,OTHER
DBCORP,Consumer Services
DBEIL,OTHER
DBL,Construction
DBOL,Process Industries
DBREALTY,Consumer Services
DBSTOCKBRO,OTHER
DCAL,Healthcare
DCBBANK,Financial Services
DCCL,OTHER
DCG,OTHER
DCI,Electronic Technology
DCM,Technology Services
DCMFINSERV,Finance
DCMNVL,Process Industries
DCMSHRIRAM,Diversified
DCMSRIND,Process Industries
DCW,Process Industries
DCXINDIA,Producer Manufacturing
DDEVPLSTIK,OTHER
DECCANCE,Non-Energy Minerals
DECCANTRAN,OTHER
DEEDEV,OTHER
DEEM,OTHER
DEEPAKFERT,Chemicals
DEEPAKNTR,Chemicals
DEEPINDS,Industrial Services
DELAPLEX,OTHER
DELHIVERY,Services
DELPHIFX,Finance
DELTACORP,Consumer Services
DELTAMAGNT,Producer Manufacturing
DELTIC,OTHER
DEN,Consumer Services
DENEERS,OTHER
DENORA,Electronic Technology
DENTA,OTHER
DENTALKART,OTHER
