Date,Symbol,Series,Open,High,Low,Close,PrevClose,Volume,Turnover
2025-11-14,INDOSTAR,EQ,237.8,243.85,235.0,240.44,240.74,129042,307.09
2025-11-14,INDOTECH,EQ,1930.0,1980.0,1823.4,1849.6,1824.9,266394,5092.36
2025-11-14,INDOTHAI,BE,397.8,402.9,386.0,402.9,383.75,169545,676.38
2025-11-14,INDOUS,EQ,129.9,134.27,128.9,130.46,130.38,2430,3.18
2025-11-14,INDOWIND,EQ,16.94,17.2,14.29,16.9,16.58,906585,146.32
2025-11-14,INDRAMEDCO,EQ,545.8,554.0,542.4,548.15,546.9,210084,1153.62
2025-11-14,INDSWFTLAB,EQ,103.5,104.1,103.0,103.75,103.43,45077,46.68
2025-11-14,INDTERRAIN,EQ,40.0,40.0,38.7,39.14,39.06,14935,5.85
2025-11-14,INDUSINDBK,EQ,864.0,872.0,845.85,848.25,863.45,4460991,38218.65
2025-11-14,INDUSINVIT,IV,118.25,120.55,115.16,117.43,117.32,63163,74.28
2025-11-14,INDUSTOWER,EQ,405.9,414.0,405.15,412.35,407.85,4523897,18592.19
2025-11-14,INFIBEAM,EQ,19.5,19.75,18.9,19.07,19.2,24685020,4770.14
2025-11-14,INFINIUM,SM,268.0,268.0,250.1,250.1,256.15,4000,10.09
2025-11-14,INFLUX,ST,202.8,203.9,198.05,198.05,198.05,37200,74.95
2025-11-14,INFOBEAN,EQ,609.8,616.35,608.0,612.0,609.8,15799,96.47
2025-11-14,INFOLLION,SM,381.2,381.25,365.0,377.95,385.05,8800,32.93
2025-11-14,INFOMEDIA,EQ,6.67,7.0,6.55,7.0,6.67,20581,1.4
2025-11-14,INFRABEES,EQ,995.11,996.0,986.46,992.36,994.05,7713,76.4
2025-11-14,INFRAIETF,EQ,99.07,99.4,98.19,98.73,98.58,77435,76.29
2025-11-14,INFY,EQ,1520.0,1530.0,1488.8,1502.8,1541.8,9739549,146371.69
2025-11-14,INGERRAND,EQ,3749.0,3831.0,3730.1,3804.0,3749.4,17280,654.79
2025-11-14,INM,SM,605.0,605.0,595.0,595.0,604.0,5100,30.77
2025-11-14,INNOMET,SM,130.5,130.5,124.0,124.0,130.5,15600,19.51
2025-11-14,INNOVACAP,EQ,741.05,754.6,730.5,751.3,730.1,25239,188.7
2025-11-14,INNOVANA,EQ,489.0,489.4,477.1,481.8,481.45,9102,43.64
2025-11-14,INOXGREEN,EQ,255.95,256.85,251.9,253.0,255.7,797842,2023.99
2025-11-14,INOXINDIA,EQ,1195.7,1208.9,1195.7,1200.5,1200.2,21742,261.3
