SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
MVKAGRO, ST, 21-Oct-2025, 580.00, 580.00, 580.00, 580.00, 580.00, 580.00, 580.00, 8400, 48.72, 7, 8400, 100.00
MWL, EQ, 21-Oct-2025, 238.04, 238.05, 246.89, 231.50, 240.00, 240.74, 239.83, 4217, 10.11, 63, 3160, 74.93
MYMUDRA, ST, 21-Oct-2025, 86.20, 88.50, 90.50, 88.50, 90.50, 90.50, 90.10, 6000, 5.41, 4, 4800, 80.00
NACLIND, BE, 21-Oct-2025, 197.00, 199.40, 206.85, 198.02, 206.85, 206.85, 203.35, 173877, 353.59, 1185, -, -
NAGAFERT, EQ, 21-Oct-2025, 4.90, 4.88, 5.18, 4.88, 4.99, 4.97, 5.00, 174331, 8.72, 497, 138791, 79.61
NAGREEKCAP, BE, 21-Oct-2025, 30.95, 32.00, 32.00, 30.99, 31.00, 31.63, 31.75, 4364, 1.39, 61, -, -
NAGREEKEXP, EQ, 21-Oct-2025, 28.18, 28.18, 29.73, 28.18, 28.75, 28.96, 29.11, 9552, 2.78, 88, 8702, 91.10
NAHARCAP, EQ, 21-Oct-2025, 281.55, 280.20, 286.00, 280.20, 280.75, 281.05, 281.46, 1012, 2.85, 27, 988, 97.63
NAHARINDUS, EQ, 21-Oct-2025, 115.35, 115.40, 116.56, 114.10, 116.20, 115.06, 115.09, 2452, 2.82, 39, 2033, 82.91
NAHARPOLY, EQ, 21-Oct-2025, 298.75, 308.00, 309.70, 298.00, 305.00, 302.15, 304.37, 5980, 18.20, 167, 3995, 66.81
NAHARSPING, EQ, 21-Oct-2025, 200.14, 201.79, 202.84, 199.52, 202.70, 201.79, 201.78, 2490, 5.02, 90, 1995, 80.12
NAM-INDIA, EQ, 21-Oct-2025, 951.05, 951.40, 971.90, 947.05, 969.00, 968.20, 964.64, 237208, 2288.21, 11709, 94299, 39.76
NAMAN, SM, 21-Oct-2025, 80.20, 78.60, 83.30, 78.60, 83.30, 81.10, 80.40, 5600, 4.50, 7, 3200, 57.14
NAMOEWASTE, SM, 21-Oct-2025, 210.00, 214.90, 214.90, 210.00, 210.05, 210.55, 211.48, 32000, 67.67, 39, 22400, 70.00
NARMADA, BE, 21-Oct-2025, 24.37, 24.50, 25.50, 24.50, 25.44, 25.29, 25.24, 41410, 10.45, 122, -, -
NATCAPSUQ, BE, 21-Oct-2025, 221.55, 232.00, 232.00, 220.00, 222.00, 222.25, 222.53, 449, 1.00, 26, -, -
NATCOPHARM, EQ, 21-Oct-2025, 833.65, 838.00, 844.40, 834.35, 842.00, 842.00, 841.37, 148511, 1249.53, 10000, 101337, 68.28
NATHBIOGEN, EQ, 21-Oct-2025, 170.38, 170.39, 173.49, 169.12, 172.00, 172.11, 172.29, 5528, 9.52, 107, 4638, 85.45
NATIONALUM, EQ, 21-Oct-2025, 226.03, 227.00, 227.92, 226.50, 226.65, 227.35, 227.41, 1587416, 3609.94, 14975, 853890, 53.83
NAUKRI, EQ, 21-Oct-2025, 1311.50, 1324.00, 1326.00, 1312.00, 1315.90, 1317.00, 1318.68, 52958, 698.35, 3612, 25036, 47.28
NAVA, EQ, 21-Oct-2025, 608.25, 612.85, 616.70, 608.95, 610.00, 610.65, 612.52, 46210, 283.05, 2078, 29303, 63.47
NAVINFLUOR, EQ, 21-Oct-2025, 5153.90, 5165.10, 5209.00, 5155.00, 5165.00, 5186.50, 5186.53, 15245, 790.69, 2481, 9461, 62.08
NAVKARCORP, EQ, 21-Oct-2025, 120.81, 122.70, 123.50, 121.70, 122.00, 122.36, 122.56, 123129, 150.91, 1965, 82431, 66.95
NAVKARURB, BE, 21-Oct-2025, 2.16, 2.20, 2.20, 2.20, 2.20, 2.20, 2.20, 13531, 0.30, 13, -, -
NAVNETEDUL, EQ, 21-Oct-2025, 158.56, 158.85, 162.00, 158.85, 160.00, 161.27, 160.75, 167813, 269.77, 3045, 130885, 78.02
NAZARA, EQ, 21-Oct-2025, 270.50, 274.60, 274.80, 271.85, 273.50, 273.40, 273.21, 181954, 497.12, 2270, 61882, 39.15
NBCC, EQ, 21-Oct-2025, 113.48, 113.60, 114.01, 112.26, 112.59, 112.72, 113.04, 1697859, 1919.20, 12376, 926673, 54.59
NBIFIN, EQ, 21-Oct-2025, 2587.30, 2698.00, 2698.00, 2588.00, 2647.90, 2607.50, 2626.41, 81, 2.13, 25, 40, 50.63
NCC, EQ, 21-Oct-2025, 208.71, 209.40, 210.35, 207.70, 207.70, 209.37, 209.39, 467727, 979.38, 6622, 260972, 55.80
NCLIND, EQ, 21-Oct-2025, 196.70, 196.70, 203.00, 196.31, 199.00, 199.87, 199.26, 17973, 35.81, 368, 9356, 52.06
NDGL, EQ, 21-Oct-2025, 3905.60, 3906.00, 3997.90, 3905.00, 3980.00, 3970.50, 3958.30, 61, 2.41, 27, 33, 54.10
NDL, EQ, 21-Oct-2025, 3.16, 3.16, 3.31, 3.16, 3.28, 3.28, 3.27, 1142376, 37.33, 1395, 896586, 78.48
NDLVENTURE, BE, 21-Oct-2025, 82.07, 82.10, 85.50, 82.10, 84.00, 83.78, 83.56, 1970, 1.65, 30, -, -
NDRAUTO, EQ, 21-Oct-2025, 988.50, 999.80, 999.80, 974.40, 984.00, 982.20, 984.60, 5424, 53.40, 848, 3462, 63.83
NDTV, EQ, 21-Oct-2025, 94.93, 95.60, 97.50, 94.65, 95.00, 94.99, 95.30, 98444, 93.82, 848, 51562, 52.43
NECCLTD, EQ, 21-Oct-2025, 19.67, 19.76, 20.90, 19.67, 20.38, 20.35, 20.28, 58955, 11.96, 286, 49739, 84.37
NECLIFE, BE, 21-Oct-2025, 13.20, 13.10, 13.10, 13.10, 13.10, 13.10, 13.10, 33822, 4.43, 114, -, -
NEELAM, SM, 21-Oct-2025, 18.05, 18.75, 18.95, 18.75, 18.95, 18.85, 18.85, 12000, 2.26, 2, 12000, 100.00
NELCAST, EQ, 21-Oct-2025, 119.50, 119.76, 121.40, 118.00, 119.00, 118.91, 119.20, 23424, 27.92, 520, 17332, 73.99
NELCO, EQ, 21-Oct-2025, 861.90, 871.80, 879.20, 864.00, 872.80, 873.30, 871.62, 19576, 170.63, 1598, 8921, 45.57
NEOGEN, EQ, 21-Oct-2025, 1470.10, 1485.50, 1525.00, 1475.20, 1510.00, 1508.40, 1508.49, 8164, 123.15, 1180, 4458, 54.61
NEPHROCARE, ST, 21-Oct-2025, 142.75, 145.00, 145.00, 143.00, 143.00, 143.00, 144.13, 1600, 2.31, 4, 1600, 100.00
NEPTUNE, SM, 21-Oct-2025, 160.50, 161.00, 171.00, 161.00, 171.00, 167.95, 166.67, 7000, 11.67, 7, 7000, 100.00
NESCO, EQ, 21-Oct-2025, 1353.70, 1379.90, 1410.00, 1369.40, 1394.00, 1398.00, 1397.39, 44438, 620.97, 6553, 25134, 56.56
NESTLEIND, EQ, 21-Oct-2025, 1285.40, 1280.00, 1292.00, 1277.30, 1285.00, 1287.30, 1286.37, 245138, 3153.39, 12398, 83932, 34.25
NETF, EQ, 21-Oct-2025, 278.50, 278.50, 285.70, 276.72, 277.65, 279.99, 281.29, 2766, 7.78, 102, 2406, 86.98
NETWEB, EQ, 21-Oct-2025, 3897.60, 3926.90, 3995.00, 3814.20, 3859.60, 3895.00, 3934.87, 378755, 14903.53, 31135, 86432, 22.82
NETWORK18, EQ, 21-Oct-2025, 48.63, 48.85, 49.86, 48.10, 48.92, 48.83, 48.98, 1582146, 774.91, 5034, 1124524, 71.08
NEULANDLAB, EQ, 21-Oct-2025, 16443.00, 16444.00, 16578.00, 16151.00, 16209.00, 16267.00, 16369.22, 5287, 865.44, 2480, 2217, 41.93
NEWGEN, EQ, 21-Oct-2025, 880.10, 881.80, 888.30, 875.60, 881.00, 880.60, 881.97, 45719, 403.23, 3855, 23471, 51.34
NEWJAISA, ST, 21-Oct-2025, 37.45, 36.25, 37.30, 36.25, 37.30, 36.75, 36.78, 3000, 1.10, 2, 3000, 100.00
NEXT30ADD, EQ, 21-Oct-2025, 40.23, 40.40, 40.48, 40.30, 40.44, 40.45, 40.45, 1466, 0.59, 26, 913, 62.28
NEXT50, EQ, 21-Oct-2025, 710.50, 719.99, 722.57, 711.28, 712.32, 713.58, 714.34, 4827, 34.48, 270, 4641, 96.15
NEXT50IETF, EQ, 21-Oct-2025, 72.91, 72.50, 73.69, 72.50, 73.42, 73.33, 73.26, 290965, 213.17, 2992, 241761, 83.09
NEXTMEDIA, EQ, 21-Oct-2025, 6.88, 6.66, 6.90, 6.66, 6.87, 6.77, 6.76, 5351, 0.36, 25, 5351, 100.00
NFL, EQ, 21-Oct-2025, 93.54, 93.99, 95.25, 93.98, 94.55, 94.53, 94.70, 174823, 165.55, 1496, 116030, 66.37
NGIL, EQ, 21-Oct-2025, 30.27, 30.50, 30.50, 29.81, 30.00, 30.01, 30.01, 4766, 1.43, 39, 4743, 99.52
NGLFINE, EQ, 21-Oct-2025, 1536.70, 1536.70, 1563.80, 1455.10, 1502.90, 1490.80, 1503.08, 1393, 20.94, 231, 925, 66.45
NH, EQ, 21-Oct-2025, 1761.90, 1775.00, 1786.00, 1774.10, 1779.00, 1780.20, 1780.52, 42705, 760.37, 4610, 25372, 59.42
NHPC, EQ, 21-Oct-2025, 86.56, 86.70, 87.00, 86.15, 86.38, 86.35, 86.50, 1480658, 1280.73, 13115, 805840, 54.47
NIACL, EQ, 21-Oct-2025, 186.31, 186.70, 188.40, 186.70, 188.00, 187.66, 187.50, 55189, 103.48, 1804, 32570, 59.12
NIBE, EQ, 21-Oct-2025, 1328.00, 1340.00, 1340.00, 1320.00, 1333.00, 1332.60, 1333.67, 6577, 87.72, 648, 5084, 77.30
NIBL, EQ, 21-Oct-2025, 28.81, 29.51, 34.50, 28.01, 32.60, 33.23, 33.20, 665889, 221.07, 3011, 179014, 26.88
NIF100BEES, EQ, 21-Oct-2025, 279.28, 279.31, 281.34, 276.49, 279.99, 280.19, 280.12, 24627, 68.99, 555, 19855, 80.62
NIF100IETF, EQ, 21-Oct-2025, 29.32, 29.35, 29.55, 29.31, 29.47, 29.46, 29.47, 50271, 14.81, 1114, 43672, 86.87
NIF10GETF, EQ, 21-Oct-2025, 26.15, 26.15, 26.33, 25.90, 25.90, 26.09, 26.15, 399, 0.10, 23, 387, 96.99
