Symbol,Series,Close,R_SCORE,Entry,SL,EntryMode,TriggerDistATR,Entry2,SL2,Mode2,Entry3,SL3,Mode3,WHY,RS_4W_Z,RS_13W_Z,SqueezeScore,PocketPivot10,TurnoverCr_med20,DelivValCr_med20,ATR_PCT,MA_Aligned,Near52w,DELIV_Q4,INSIDER_PLUS,BULK_PLUS,BLOCK_PLUS,BELOW_SMA20,EXTENDED_BB,LQ_STRONG,TREND_OK,RR_HI55,RET_10,SEC_RET_10,RET10_EDGE_SEC,SECTOR_MOM_OK,STOCK_VS_SEC_OK,GO,GO_REASONS,MKT_BREADTH20,DISP_4W,AsOf,Sector,SECTOR_BREADTH20,SEC_RS_Z,TB_TOMORROW_BUY,TB_MODE,TB_DIST_TO_BREAK_PCT,PowerStrong,TV_BUY_SETUP
GMRAIRPORT,EQ,104.05,99.5,105.87,101.26,BREAKOUT,0.72,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BLOCK+",1.5323653502855499,1.071487723205093,0.0,1,128.57195000000002,,0.02440447587011738,False,True,0,0,0,1,0,0,True,True,,0.1016410799364742,-0.024683253462876475,0.12632433339935067,True,True,False,"Weak close; Far (0.72 ATR); Not coiled; No delivery edge; No fresh insider; Sector weak (b0.28, z-0.05)",0.272,0.1034,2025-11-21,Services,0.28,-0.05142870262450779,False,,1.38,True,1
NH,EQ,2043.2,97.9,2080.75,1949.72,BREAKOUT,0.44,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.80630483161637,0.7457349179137799,0.0,1,58.387100000000004,,0.041594417720102916,False,True,0,0,0,0,0,0,True,True,0.09577959245974345,0.12269904939831866,-0.020337301587301626,0.1430363509856203,True,True,False,"Not coiled; RR_HI55<0.8 (0.10); No delivery edge; No fresh insider; Sector weak (b0.27, z+0.33)",0.272,0.1034,2025-11-21,Healthcare,0.26666666666666666,0.3342322353101568,False,,2.45,True,1
ASIANPAINT,EQ,2876.6,96.0,2905.54,2803.72,BREAKOUT,0.44,,,,2895.6,2854.1,INSIDE_DAY,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.647555963010388,0.9408272353225346,0.0,1,261.6483,,0.023033144287402788,False,True,0,0,0,0,0,0,True,True,0.20978196817914058,0.10515194590648891,-0.03197816125572783,0.13713010716221674,True,True,False,"Weak close; Not coiled; RR_HI55<0.8 (0.21); No delivery edge; No fresh insider; Sector weak (b0.27, z+0.11)",0.272,0.1034,2025-11-21,Consumer Durables,0.2698412698412698,0.1081890871617581,False,,1.75,True,1
GPPL,EQ,177.95,94.4,181.9,171.33,BREAKOUT,0.66,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,BULK+",1.350370645064276,0.8272904556278894,0.0641025641025641,1,37.444250000000004,,0.033809657608477525,False,True,0,0,1,0,0,0,True,True,0.0,0.03567687114422058,-0.024683253462876475,0.060360124607097054,True,True,False,"Weak close; Far (0.66 ATR); Not coiled; RR_HI55<0.8 (0.00); No delivery edge; No fresh insider; Sector weak (b0.28, z-0.05)",0.272,0.1034,2025-11-21,Services,0.28,-0.05142870262450779,False,,2.15,True,1
SENORES,EQ,819.55,93.3,835.26,788.34,BREAKOUT,0.55,,,,831.0,811.95,INSIDE_DAY,"RS_LEADER,UPVOL_DOM,NEAR_52W",1.4513369641743579,1.2456556435341841,0.6538461538461539,0,15.080499999999999,,0.03462265877615766,False,True,0,0,0,0,0,0,True,True,0.0,0.018264272845871732,-0.008468452226746137,0.02673272507261787,True,True,False,"Weak close; Far (0.55 ATR); RR_HI55<0.8 (0.00); No delivery edge; No fresh insider; Sector weak (b0.37, z+0.42)",0.272,0.1034,2025-11-21,OTHER,0.36553524804177545,0.41783033507296286,True,TB_BIRTH,1.51,True,1
UJJIVANSFB,EQ,54.16,93.0,54.9,52.55,BREAKOUT,0.51,52.8,51.68,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W,COILED",0.8044783952176827,1.602012344433326,0.8205128205128205,1,50.8935,,0.02703629457691498,False,True,0,0,0,0,0,0,True,True,0.14468085106383116,0.05781249999999982,0.0028245927878731703,0.05498790721212665,True,True,False,"Far (0.51 ATR); RR_HI55<0.8 (0.14); No delivery edge; No fresh insider; Sector weak (b0.37, z+0.69)",0.272,0.1034,2025-11-21,Financial Services,0.37142857142857144,0.6854894271671768,True,TB_BIRTH,1.99,True,1
ZOTA,EQ,1685.1,91.0,1749.79,1613.32,BREAKOUT,0.99,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.0085033832048687,1.5478977259924627,0.5384615384615384,1,7.891500000000001,,0.03872173758233934,False,True,0,0,0,0,0,0,False,True,,0.10245338567222761,-0.027226318774815628,0.12967970444704324,True,True,False,"Weak close; Far (0.99 ATR); Not coiled; LQ<10cr (7.9); No delivery edge; No fresh insider; Sector weak (b0.26, z-0.04)",0.272,0.1034,2025-11-21,Health Technology,0.2571428571428571,-0.03866858792185152,False,,3.26,True,0
ANURAS,EQ,1246.8,89.8,1259.82,1211.49,BREAKOUT,0.41,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.6221990062801819,0.5835732694141589,0.0,1,19.6319,,0.02574590952839269,False,True,0,0,0,0,0,0,True,True,,0.16686944314459518,-0.03321582945150864,0.2000852725961038,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.21, z-0.21)",0.272,0.1034,2025-11-21,Chemicals,0.21153846153846154,-0.21051041043997962,False,,0.66,True,1
HEROMOTOCO,EQ,6002.5,85.7,6059.05,5848.15,BREAKOUT,0.4,,,,6038.0,5957.5,INSIDE_DAY,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",0.877466007167499,1.5509104169899186,0.2435897435897436,1,303.11415,,0.023377164276789434,False,True,0,0,0,0,0,0,True,True,0.0,0.12701840030041311,-0.00010258863517464967,0.12712098893558776,True,True,False,"Weak close; Not coiled; RR_HI55<0.8 (0.00); No delivery edge; No fresh insider; Sector weak (b0.46, z+0.48)",0.272,0.1034,2025-11-21,Automobile and Auto Components,0.4583333333333333,0.4775807100199121,False,,0.66,True,1
AUBANK,EQ,915.35,83.9,927.74,894.5,BREAKOUT,0.65,,,,,,,"RS_LEADER,UPVOL_DOM,NEAR_52W,BLOCK+",0.8179790573858279,1.4470474026367972,0.6794871794871795,0,157.23675,,0.020710266954872842,False,True,0,0,0,1,0,0,True,True,0.06498194945848278,0.03898978433598188,0.0028245927878731703,0.03616519154810871,True,True,False,"Weak close; Far (0.65 ATR); RR_HI55<0.8 (0.06); No delivery edge; No fresh insider; Sector weak (b0.37, z+0.69)",0.272,0.1034,2025-11-21,Financial Services,0.37142857142857144,0.6854894271671768,True,TB_BIRTH,1.59,True,1
TBOTEK,EQ,1710.0,82.0,1775.24,1633.43,BREAKOUT,0.94,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.0072338416273,1.1200461668493706,0.28205128205128205,1,13.03225,,0.04070593149540518,False,True,0,0,0,0,0,0,True,True,,0.08323831242873436,-0.03428649909524323,0.11752481152397759,True,True,False,"Weak close; Far (0.94 ATR); Not coiled; No delivery edge; No fresh insider; Sector weak (b0.16, z-0.37)",0.272,0.1034,2025-11-21,Consumer Services,0.15714285714285714,-0.3729454263155977,False,,3.2,True,0
MCX,EQ,9683.0,79.0,9885.25,9424.5,BREAKOUT,0.86,,,,,,,"RS_LEADER,UPVOL_DOM,NEAR_52W,BULK+",0.770443627539734,1.0007322700635477,0.6923076923076923,0,441.0827,,0.02426933801507797,False,True,0,0,1,0,0,0,True,True,0.19479110146500273,0.04675422950110808,0.0028245927878731703,0.04392963671323491,True,True,False,"Weak close; Far (0.86 ATR); RR_HI55<0.8 (0.19); No delivery edge; No fresh insider; Sector weak (b0.37, z+0.69)",0.272,0.1034,2025-11-21,Financial Services,0.37142857142857144,0.6854894271671768,True,TB_BIRTH,3.02,True,0
SONACOMS,EQ,503.15,78.9,519.7,489.2,BREAKOUT,1.3,,,,,,,"RS_LEADER,UPVOL_DOM,NEAR_52W,COILED",1.138644932137752,0.7754646777387013,0.7051282051282051,0,80.1168,,0.02520549112022826,False,True,0,0,0,0,0,0,True,True,,0.04193414785669902,-0.00010258863517464967,0.04203673649187367,True,True,False,"Weak close; Far (1.30 ATR); No delivery edge; No fresh insider; Sector weak (b0.46, z+0.48)",0.272,0.1034,2025-11-21,Automobile and Auto Components,0.4583333333333333,0.4775807100199121,True,TB_BIRTH,2.91,True,0
NIITMTS,EQ,361.75,78.3,366.05,346.7,BREAKOUT,0.31,,,,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",1.2989647112592617,0.6911177861831208,0.0,1,5.7081,,0.03782209497482475,False,True,0,0,0,0,0,0,False,True,,0.13241508843324468,-0.03679665362361689,0.16921174205686157,True,True,False,"Not coiled; LQ<10cr (5.7); No delivery edge; No fresh insider; Sector weak (b0.14, z-0.38)",0.272,0.1034,2025-11-21,Commercial Services,0.14285714285714285,-0.3844557591468281,False,,0.62,True,1
CANFINHOME,EQ,884.95,76.2,894.6,858.53,BREAKOUT,0.4,,,,891.0,880.9,INSIDE_DAY,"RS_LEADER,UPVOL_DOM,NEAR_52W,COILED",0.7948671255286058,1.0919382335805885,0.8974358974358975,0,29.81645,,0.027144390724253988,False,True,0,0,0,0,0,0,True,True,0.8428056556695297,0.008375113947128643,0.0028245927878731703,0.005550521159255473,True,True,False,"Power weak; Weak close; No delivery edge; No fresh insider; Sector weak (b0.37, z+0.69)",0.272,0.1034,2025-11-21,Financial Services,0.37142857142857144,0.6854894271671768,True,TB_BIRTH,4.53,True,1
UNITDSPR,EQ,1427.1,64.6,1434.71,1392.58,BREAKOUT,0.24,1426.58,1388.73,RECLAIM,,,,"RS_LEADER,POCKET_PIVOT,UPVOL_DOM,NEAR_52W",0.692333146205184,0.6137974965224094,0.14102564102564108,1,73.98915,,0.02199265243200496,False,True,0,0,0,0,0,0,True,True,1.2648943745549448,0.007483233321567084,-0.00585849481748546,0.013341728139052544,True,True,False,"Not coiled; No delivery edge; No fresh insider; Sector weak (b0.35, z+0.55)",0.272,0.1034,2025-11-21,Fast Moving Consumer Goods,0.3488372093023256,0.5522612377957296,False,,4.27,True,1
AZAD,EQ,1693.0,60.9,1747.34,1643.6,BREAKOUT,1.21,,,,1740.6,1685.2,INSIDE_DAY,"RS_LEADER,UPVOL_DOM,NEAR_52W",0.5889591062744689,0.7390538767563921,0.6794871794871795,0,17.954250000000002,,0.02652518774786939,False,True,0,0,0,0,0,0,True,True,0.4642375168690966,0.04615955014521411,-0.019596237361278745,0.06575578750649286,True,True,False,"Weak close; Far (1.21 ATR); RR_HI55<0.8 (0.46); No delivery edge; No fresh insider; Sector weak (b0.25, z+0.40)",0.272,0.1034,2025-11-21,Capital Goods,0.2457627118644068,0.39622133749052285,True,TB_BIRTH,6.05,True,0
